alpha,budget,connect,BDI,species,ObjVal
numeric,numeric,numeric,numeric,numeric,numeric
0.4,35,64,9.526364936,113,83.6
0.43,35,62,10.61410316,116,85.22
0.46,35,62,10.27059543,116,86.84
0.49,35,62,10.59500002,116,88.46
0.52,35,58,11.05522851,120,90.24
0.55,35,58,11.52431222,120,92.1
0.58,35,58,11.1720993,120,93.96
0.61,35,58,10.93783444,120,95.82
0.64,35,58,11.03388,120,97.68
0.67,35,52,10.22090201,123,99.57
0.7,35,52,10.52712699,123,101.7
0.73,35,52,10.62233178,123,103.83
0.76,35,52,10.06080153,123,105.96
0.79,35,52,11.0366708,123,108.09
0.82,35,52,10.42517636,123,110.22
0.85,35,52,11.4051935,123,112.35
0.88,35,46,12.22252083,124,114.64
0.91,35,36,11.40504584,125,116.99
0.94,35,36,11.87552503,125,119.66
0.97,35,36,11.76425707,125,122.33
0.01,40,78,9.99003064,104,78.26
0.04,40,78,9.99003064,104,79.04
0.07,40,78,9.99003064,104,79.82
0.1,40,78,9.99003064,104,80.6
0.13,40,78,9.99003064,104,81.38
0.16,40,78,9.99003064,104,82.16
0.19,40,78,9.99003064,104,82.94
0.22,40,76,10.02941274,112,83.92
0.25,40,76,10.02941274,112,85
0.28,40,76,10.02941274,112,86.08
0.31,40,76,10.02941274,112,87.16
0.34,40,76,10.02941274,112,88.24
0.37,40,76,10.02941274,112,89.32
0.4,40,76,10.02941274,112,90.4
0.43,40,70,11.65432033,120,91.5
0.46,40,70,11.65432033,120,93
0.49,40,70,11.8571114,120,94.5
0.52,40,70,11.65432033,120,96
0.55,40,70,11.8571114,120,97.5
0.58,40,70,11.65432033,120,99
0.61,40,70,11.65432033,120,100.5
0.64,40,70,11.65432033,120,102
0.67,40,64,11.05169627,123,103.53
0.7,40,64,12.07046878,123,105.3
0.73,40,64,12.09540152,123,107.07
0.76,40,64,11.50299465,123,108.84
0.79,40,64,12.57724265,123,110.61
0.82,40,60,11.81923876,124,112.48
0.85,40,60,12.1608729,124,114.4
0.88,40,60,12.1608729,124,116.32
0.91,40,50,11.76378683,125,118.25
0.94,40,50,11.85099771,125,120.5
0.97,40,50,12.07257961,125,122.75
0.01,45,86,11.38886149,114,86.28
0.04,45,86,11.31555127,114,87.12
0.07,45,86,11.38886149,114,87.96
0.1,45,86,11.38886149,114,88.8
0.13,45,86,11.38886149,114,89.64
0.16,45,86,11.38886149,114,90.48
0.19,45,86,11.38886149,114,91.32
0.22,45,86,11.31555127,114,92.16
0.25,45,86,11.38886149,114,93
0.28,45,86,11.31555127,114,93.84
0.31,45,86,11.38886149,114,94.68
0.34,45,86,11.38886149,114,95.52
0.37,45,86,11.31555127,114,96.36
0.4,45,86,11.31555127,114,97.2
0.43,45,86,11.31555127,114,98.04
0.46,45,86,11.31555127,114,98.88
0.49,45,80,12.17246116,121,100.09
0.52,45,80,12.17246116,121,101.32
0.55,45,80,12.17246116,121,102.55
0.58,45,80,12.17246116,121,103.78
0.61,45,80,12.17246116,121,105.01
0.64,45,80,12.17246116,121,106.24
0.67,45,76,11.86864555,123,107.49
0.7,45,76,11.41228304,123,108.9
0.73,45,76,12.94089855,123,110.31
0.76,45,76,11.82178391,123,111.72
0.79,45,76,11.90423942,123,113.13
0.82,45,76,11.85110041,123,114.54
0.85,45,76,12.77029948,123,115.95
0.88,45,64,13.03256237,125,117.68
0.91,45,64,13.03256237,125,119.51
0.94,45,64,13.3460118,125,121.34
0.97,45,64,12.72485537,125,123.17
0.01,50,94,12.88769149,117,94.23
0.04,50,94,12.88769149,117,94.92
0.07,50,94,12.91751297,117,95.61
0.1,50,94,12.06101153,117,96.3
0.13,50,94,12.94894983,117,96.99
0.16,50,94,12.64967139,117,97.68
0.19,50,94,12.10442656,117,98.37
0.22,50,94,12.25601228,117,99.06
0.25,50,94,12.16763943,117,99.75
0.28,50,94,12.45758359,117,100.44
0.31,50,94,12.20321871,117,101.13
0.34,50,94,12.65834668,117,101.82
0.37,50,94,12.6230404,117,102.51
0.4,50,92,11.86043009,120,103.2
0.43,50,92,11.92612821,120,104.04
0.46,50,92,12.21759718,120,104.88
0.49,50,92,11.86043009,120,105.72
0.52,50,90,12.49104027,122,106.64
0.55,50,90,12.9966957,122,107.6
0.58,50,90,12.49104027,122,108.56
0.61,50,90,12.9966957,122,109.52
0.64,50,90,12.9966957,122,110.48
0.67,50,88,12.69503114,123,111.45
0.7,50,88,13.0253142,123,112.5
0.73,50,88,13.24227208,123,113.55
0.76,50,88,12.69503114,123,114.6
0.79,50,88,12.52598693,123,115.65
0.82,50,88,12.52598693,123,116.7
0.85,50,88,13.09982059,123,117.75
0.88,50,82,13.53476706,124,118.96
0.91,50,74,13.60568777,125,120.41
0.94,50,74,13.79552198,125,121.94
0.97,50,74,14.40802122,125,123.47
0.01,55,104,13.7562116,118,104.14
0.04,55,104,13.1250886,118,104.56
0.07,55,104,12.78963244,118,104.98
0.1,55,104,13.10457195,118,105.4
0.13,55,104,13.34625095,118,105.82
0.16,55,104,13.19078672,118,106.24
0.19,55,104,13.45967582,118,106.66
0.22,55,104,13.1250886,118,107.08
0.25,55,104,13.45967582,118,107.5
0.28,55,104,13.7562116,118,107.92
0.31,55,104,13.7562116,118,108.34
0.34,55,104,12.89512795,118,108.76
0.37,55,104,13.7562116,118,109.18
0.4,55,104,13.10457195,118,109.6
0.43,55,102,12.7315052,121,110.17
0.46,55,102,12.7315052,121,110.74
0.49,55,102,12.7315052,121,111.31
0.52,55,102,12.7315052,121,111.88
0.55,55,102,12.7315052,121,112.45
0.58,55,102,12.7315052,121,113.02
0.61,55,102,12.7315052,121,113.59
0.64,55,102,12.7315052,121,114.16
0.67,55,98,13.90234231,123,114.75
0.7,55,98,14.3141981,123,115.5
0.73,55,98,14.80598021,123,116.25
0.76,55,98,13.65006702,123,117
0.79,55,98,13.8078364,123,117.75
0.82,55,98,13.87691336,123,118.5
0.85,55,98,13.65006702,123,119.25
0.88,55,86,14.65260607,125,120.32
0.91,55,86,14.72187891,125,121.49
0.94,55,86,14.82757545,125,122.66
0.97,55,86,14.40266628,125,123.83
0.01,60,114,14.60062761,118,114.04
0.04,60,114,14.23320335,118,114.16
0.07,60,114,14.59037043,118,114.28
0.1,60,114,14.60062761,118,114.4
0.13,60,114,14.43869014,118,114.52
0.16,60,114,13.89993395,118,114.64
0.19,60,114,14.5955608,118,114.76
0.22,60,114,13.86034544,118,114.88
0.25,60,114,14.51915021,118,115
0.28,60,114,13.79200807,118,115.12
0.31,60,114,14.45954456,118,115.24
0.34,60,114,14.60062761,118,115.36
0.37,60,114,14.78474105,118,115.48
0.4,60,114,14.315208,118,115.6
0.43,60,112,13.83089105,121,115.87
0.46,60,112,13.95437319,121,116.14
0.49,60,112,14.09095396,121,116.41
0.52,60,112,14.09095396,121,116.68
0.55,60,112,13.78891638,121,116.95
0.58,60,112,14.03585059,121,117.22
0.61,60,112,13.4493387,121,117.49
0.64,60,112,13.77025975,121,117.76
0.67,60,108,14.57104688,123,118.05
0.7,60,108,15.20263582,123,118.5
0.73,60,108,14.7208539,123,118.95
0.76,60,108,15.18132114,123,119.4
0.79,60,108,14.92126766,123,119.85
0.82,60,104,14.50123984,124,120.4
0.85,60,104,14.33707553,124,121
